# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mon Aug  7 13:50:02 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (default_flag = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and disc_facility like '%TESS%',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_orbsmaxstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_radestr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_massestr not null),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN default_flag:   Default Parameter Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN disc_facility:  Discovery Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_refname:     Planetary Parameter Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radelim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masse:       Planet Mass [Earth Mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN ttv_flag:       Data show Transit Timing Variations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_disterr1:    Distance [pc] Upper Unc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_disterr2:    Distance [pc] Lower Unc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,default_flag,disc_facility,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,ttv_flag,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
HD 191939 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ORELL_MIQUEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221100667O/abstract target=ref>Orell-Miquel et al. 2022</a>,8.8803256,0.0000047,-0.0000047,0,0.0804,0.0025,-0.0023,0,3.41,0.075,-0.075,0,10,0.7,-0.7,0,0.031,0.01,-0.011,0,0,0.94,0.02,-0.02,0,0.81,0.04,-0.04,0,53.6089,0.0733,-0.0731
HD 191939 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ORELL_MIQUEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221100667O/abstract target=ref>Orell-Miquel et al. 2022</a>,28.579743,0.000045,-0.000045,0,0.1752,0.0055,-0.005,0,3.195,0.075,-0.075,0,8,1,-1,0,0.034,0.034,-0.013,0,0,0.94,0.02,-0.02,0,0.81,0.04,-0.04,0,53.6089,0.0733,-0.0731
HD 191939 d,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ORELL_MIQUEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221100667O/abstract target=ref>Orell-Miquel et al. 2022</a>,38.353037,0.00006,-0.00006,0,0.2132,0.0065,-0.0061,0,2.995,0.07,-0.07,0,2.8,0.6,-0.6,0,0.031,0.018,-0.012,0,0,0.94,0.02,-0.02,0,0.81,0.04,-0.04,0,53.6089,0.0733,-0.0731
HD 202772 A b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=WANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...51W/abstract target=ref>Wang et al. 2019</a>,3.308958,0.000083,-0.000083,0,0.05208,0.00064,-0.00068,0,17.318,0.583,-0.673,0,323.23311,22.2481,-21.61244,0,0.038,0.042,-0.027,0,0,2.59,0.08,-0.09,0,1.72,0.06,-0.07,0,161.498,2.459,-2.388
HD 20329 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MURGAS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221102547M/abstract target=ref>Murgas et al. 2022</a>,0.926118,0.00005,-0.000043,0,0.018,0.0003,-0.0003,0,1.72,0.07,-0.07,0,7.42,1.09,-1.09,0,0,,,0,0,1.13,0.02,-0.02,0,0.9,0.05,-0.05,0,63.6796,0.2863,-0.2838
HD 207496 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BARROS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A...4B/abstract target=ref>Barros et al. 2023</a>,6.441008,0.000011,-0.000011,0,0.0629,0.0011,-0.0011,0,2.25,0.12,-0.1,0,6.1,1.6,-1.6,0,0.231,0.042,-0.049,0,0,0.77,0.03,-0.03,0,0.8,0.04,-0.04,0,23.606,0.0179,-0.0179
HD 207897 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=HEIDARI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A.176H/abstract target=ref>Heidari et al. 2022</a>,16.202159,0.000085,-0.000083,0,0.1163,0.0017,-0.0015,0,2.501,0.082,-0.078,0,14.4,1.6,-1.6,0,0.047,0.057,-0.033,0,0,0.78,0.02,-0.02,0,0.8,0.04,-0.03,0,28.2938,0.0312,-0.0312
HD 213885 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ESPINOZA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.2982E/abstract target=ref>Espinoza et al. 2020</a>,1.008035,0.000021,-0.00002,0,0.02012,0.00015,-0.00012,0,1.745,0.051,-0.052,0,8.83,0.66,-0.65,0,0,,,0,0,1.1,0.01,-0.01,0,1.07,0.02,-0.02,0,48.0883,0.0991,-0.0987
HD 21749 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,7.78993,0.00051,-0.00044,0,0.0695,0.0021,-0.0023,0,0.892,0.064,-0.058,0,3.7,,,1,,,,,0,0.69,0.03,-0.03,0,0.73,0.07,-0.07,0,16.32,0.0071,-0.0071
HD 219666 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ESPOSITO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.165E/abstract target=ref>Esposito et al. 2019</a>,6.03607,0.00064,-0.00063,0,0.06356,0.00265,-0.00265,0,4.71,0.17,-0.17,0,16.6,1.3,-1.3,0,0,,,0,0,1.03,0.03,-0.03,0,0.92,0.03,-0.03,0,94.1719,0.2518,-0.2506
HD 221416 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=HUBER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..245H/abstract target=ref>Huber et al. 2019</a>,14.2767,0.0037,-0.0037,0,0.1228,0.0025,-0.0026,0,9.17,0.34,-0.31,0,60.5,5.7,-5.7,0,0.115,0.034,-0.03,0,0,2.94,0.06,-0.06,0,1.21,0.07,-0.07,0,95.5483,0.7364,-0.7254
HD 22946 d,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=GARAI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...674A..44G/abstract target=ref>Garai et al. 2023</a>,47.42489,0.0001,-0.00011,0,0.2958,0.0044,-0.0042,0,2.607,0.06,-0.06,0,26.57,,,1,,,,,0,1.12,0.01,-0.01,0,1.1,0.04,-0.04,0,62.7792,0.1161,-0.1156
HD 23472 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,17.667087,0.000042,-0.000042,0,0.1162,0.0018,-0.0018,0,2,0.11,-0.1,0,8.32,0.78,-0.79,0,0.072,0.039,-0.04,0,0,0.71,0.02,-0.02,0,0.67,0.03,-0.03,0,39.0341,0.0401,-0.04
HD 23472 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,29.79749,0.00013,-0.00014,0,0.1646,0.0024,-0.0024,0,1.87,0.12,-0.11,0,3.41,0.88,-0.81,0,0.063,0.054,-0.043,0,0,0.71,0.02,-0.02,0,0.67,0.03,-0.03,0,39.0341,0.0401,-0.04
HD 23472 d,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,3.97664,0.00003,-0.000044,0,0.04298,0.00063,-0.00065,0,0.75,0.067,-0.057,0,0.55,0.21,-0.2,0,0.07,0.05,-0.047,0,0,0.71,0.02,-0.02,0,0.67,0.03,-0.03,0,39.0341,0.0401,-0.04
HD 23472 e,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,7.90754,0.00011,-0.00011,0,0.068,0.001,-0.001,0,0.818,0.08,-0.065,0,0.72,0.28,-0.27,0,0.07,0.052,-0.047,0,0,0.71,0.02,-0.02,0,0.67,0.03,-0.03,0,39.0341,0.0401,-0.04
HD 23472 f,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,12.1621839,0.00012,-0.000099,0,0.0906,0.0014,-0.0014,0,1.137,0.084,-0.077,0,0.77,0.44,-0.4,0,0.07,0.048,-0.051,0,0,0.71,0.02,-0.02,0,0.67,0.03,-0.03,0,39.0341,0.0401,-0.04
HD 260655 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,2.76953,0.00003,-0.00003,0,0.02933,0.00024,-0.00024,0,1.24,0.023,-0.023,0,2.14,0.34,-0.34,0,0.039,0.043,-0.023,0,0,0.44,0,0,0,0.44,0.01,-0.01,0,10.0055,0.00505,-0.00505
